KARİYER YOLU — F HAVUZU (1132 oyuncu) — tanınırlık sırasıyla (üst=en bilinen)
format: # | İsim | Milliyet | milliMaç | piyasaDeğeri(M€)
338 | Yacine Brahimi | Algeria | 72 cap | 26M
339 | Naby Keïta | Guinea | 54 cap | 65M
340 | Dejan Lovren | Croatia | 78 cap | 20M
341 | Fabien Barthez | France | 87 cap | 5M
342 | Ezgjan Alioski | North Macedonia | 90 cap | 8M
343 | Eldor Shomurodov | Uzbekistan | 90 cap | 14M
344 | Omar Marmoush | Egypt | 49 cap | 75M
345 | Zvjezdan Misimovic | Bosnia-Herzegovina | 84 cap | 15M
346 | Deco | Portugal | 74 cap | 25M
347 | Emmanuel Adebayor | Togo | 72 cap | 25M
348 | Valon Behrami | Switzerland | 83 cap | 16M
349 | Mehmet Topal | Türkiye | 81 cap | 12M
350 | Carlos Gamarra | Paraguay | 101 cap | 2M
351 | Alex Frei | Switzerland | 84 cap | 12M
352 | Pauleta | Portugal | 87 cap | 12M
353 | Noureddine Naybet | Morocco | 95 cap | 3M
354 | Adrian Mutu | Romania | 77 cap | 25M
355 | Thomas Partey | Ghana | 56 cap | 50M
356 | Valter Birsa | Slovenia | 90 cap | 5M
357 | Ruslan Malinovskyi | Ukraine | 70 cap | 30M
358 | Denis Zakaria | Switzerland | 63 cap | 45M
359 | Luka Jović | Serbia | 52 cap | 60M
360 | Dennis Bergkamp | Netherlands | 79 cap | 3M
361 | Brad Friedel | United States | 81 cap | 4M
362 | Andrea Barzagli | Italy | 73 cap | 15M
363 | Robert Kovac | Croatia | 84 cap | 7M
364 | Eljif Elmas | North Macedonia | 78 cap | 26M
365 | Hakan Yakin | Switzerland | 87 cap | 4M
366 | Andreas Brehme | Germany | 86 cap | 0M
367 | Sofyan Amrabat | Morocco | 73 cap | 30M
368 | Jules Koundé | France | 46 cap | 65M
369 | Amir Murillo | Panama | 91 cap | 10M
370 | Éver Banega | Argentina | 65 cap | 20M
371 | Andreas Möller | Germany | 85 cap | 0M
372 | Ramy Bensebaini | Algeria | 81 cap | 22M
373 | Paulinho | Brazil | 56 cap | 40M
374 | Carlos Vela | Mexico | 72 cap | 20M
375 | Emir Spahic | Bosnia-Herzegovina | 94 cap | 6M
376 | Julian Draxler | Germany | 58 cap | 40M
377 | Frank Anguissa | Cameroon | 66 cap | 40M
378 | William Saliba | France | 31 cap | 90M
379 | Romain Saïss | Morocco | 86 cap | 10M
380 | Cyle Larin | Canada | 88 cap | 12M
381 | Ádám Szalai | Hungary | 86 cap | 7M
382 | Tomas Ujfalusi | Czech Republic | 78 cap | 12M
383 | David Luiz | Brazil | 57 cap | 30M
384 | Dan Petrescu | Romania | 95 cap | 1M
385 | Diego Maradona | Argentina | 91 cap | 0M
386 | Nwankwo Kanu | Nigeria | 84 cap | 7M
387 | Youri Djorkaeff | France | 82 cap | 0M
388 | Ryan Babel | Netherlands | 69 cap | 17M
389 | Dani Olmo | Spain | 48 cap | 60M
390 | Enzo Scifo | Belgium | 84 cap | 0M
391 | Alpay Özalan | Türkiye | 90 cap | 5M
392 | Rivaldo | Brazil | 76 cap | 7M
393 | Vedad Ibisevic | Bosnia-Herzegovina | 83 cap | 10M
394 | Christian Fuchs | Austria | 78 cap | 8M
395 | Benjamin Pavard | France | 55 cap | 50M
396 | Patrik Andersson | Sweden | 96 cap | 0M
397 | Tuncay Şanlı | Türkiye | 80 cap | 12M
398 | Cristian Romero | Argentina | 49 cap | 65M
399 | Nahuel Molina | Argentina | 58 cap | 50M
400 | Fabinho | Brazil | 31 cap | 70M
401 | Alexander Sørloth | Norway | 70 cap | 25M
402 | Edgar Davids | Netherlands | 74 cap | 14M
403 | César Azpilicueta | Spain | 44 cap | 40M
404 | Ryan Gravenberch | Netherlands | 25 cap | 90M
405 | Esteban Cambiasso | Argentina | 52 cap | 31M
406 | Sandro Tonali | Italy | 32 cap | 80M
407 | Marcus Thuram | France | 33 cap | 75M
408 | Ferran Torres | Spain | 55 cap | 50M
409 | Nemanja Matić | Serbia | 48 cap | 40M
410 | Marc Overmars | Netherlands | 86 cap | 0M
411 | Stéphane Sessègnon | Benin | 73 cap | 15M
412 | Juan Sebastián Verón | Argentina | 72 cap | 16M
413 | Viktor Gyökeres | Sweden | 32 cap | 75M
414 | Patrick Kluivert | Netherlands | 79 cap | 13M
415 | Georgios Samaras | Greece | 81 cap | 9M
416 | Benjamin Sesko | Slovenia | 45 cap | 70M
417 | João Mário | Portugal | 56 cap | 35M
418 | Joel Pohjanpalo | Finland | 87 cap | 6M
419 | Sulley Muntari | Ghana | 77 cap | 17M
420 | Lucas Digne | France | 56 cap | 35M
421 | Eric-Maxim Choupo-Moting | Cameroon | 76 cap | 10M
422 | Michy Batshuayi | Belgium | 55 cap | 40M
423 | Miranda | Brazil | 58 cap | 22M
424 | Thorgan Hazard | Belgium | 47 cap | 45M
425 | Junichi Inamoto | Japan | 82 cap | 3M
426 | Michael Essien | Ghana | 55 cap | 38M
427 | Bryan Mbeumo | Cameroon | 32 cap | 80M
428 | Cédric Bakambu | DR Congo | 67 cap | 25M
429 | Ian Rush | Wales | 73 cap | 0M
430 | Jean Michaël Seri | Cote d'Ivoire | 63 cap | 35M
431 | Matías Fernández | Chile | 74 cap | 14M
432 | Kieran Trippier | England | 54 cap | 35M
433 | Juan Mata | Spain | 41 cap | 45M
434 | Patrik Schick | Czech Republic | 52 cap | 50M
435 | Ederson | Brazil | 31 cap | 70M
436 | Milot Rashica | Kosovo | 64 cap | 35M
437 | Ciriaco Sforza | Switzerland | 79 cap | 1M
438 | Mark Hughes | Wales | 72 cap | 0M
439 | Raúl Meireles | Portugal | 75 cap | 16M
440 | Ariel Ortega | Argentina | 87 cap | 4M
441 | Ilya Zabarnyi | Ukraine | 57 cap | 55M
442 | Gabriel Heinze | Argentina | 72 cap | 17M
443 | Ally Samatta | Tanzania | 79 cap | 12M
444 | Randal Kolo Muani | France | 32 cap | 80M
445 | Wataru Endo | Japan | 73 cap | 13M
446 | Nayef Aguerd | Morocco | 64 cap | 38M
447 | Toni Schumacher | Germany | 76 cap | 0M
448 | Mauro Icardi | Argentina | 8 cap | 100M
449 | Dejan Kulusevski | Sweden | 45 cap | 60M
450 | Raúl Albiol | Spain | 58 cap | 18M
451 | Çağlar Söyüncü | Türkiye | 59 cap | 45M
452 | Maxi Rodríguez | Argentina | 57 cap | 25M
453 | Theofanis Gekas | Greece | 78 cap | 7M
454 | Nelson Valdez | Paraguay | 77 cap | 5M
455 | Zoran Tosic | Serbia | 76 cap | 10M
456 | Nicklas Bendtner | Denmark | 80 cap | 10M
457 | André Onana | Cameroon | 53 cap | 45M
458 | Fabián Ruiz | Spain | 41 cap | 60M
459 | Vladimir Smicer | Czech Republic | 79 cap | 8M
460 | DeAndre Yedlin | United States | 81 cap | 8M
461 | Theo Hernández | France | 42 cap | 60M
462 | Ademola Lookman | Nigeria | 43 cap | 60M
463 | Tore André Flo | Norway | 76 cap | 7M
464 | Emre Can | Germany | 48 cap | 40M
465 | Donyell Malen | Netherlands | 51 cap | 45M
466 | Patrick Müller | Switzerland | 81 cap | 6M
467 | Lucas Biglia | Argentina | 58 cap | 20M
468 | Darwin Núñez | Uruguay | 38 cap | 70M
469 | Admir Mehmedi | Switzerland | 76 cap | 10M
470 | Xavi Simons | Netherlands | 34 cap | 80M
471 | Bacary Sagna | France | 65 cap | 19M
472 | Demetrio Albertini | Italy | 79 cap | 2M
473 | Carlos Pavón | Honduras | 93 cap | 1M
474 | Benni McCarthy | South Africa | 71 cap | 15M
475 | Christian Wilhelmsson | Sweden | 78 cap | 7M
476 | Sergiy Rebrov | Ukraine | 75 cap | 3M
